Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,619.950012,627.950012,619.950012,622.900024,549.175598,48049
2016-10-04,623.900024,625.400024,617.000000,618.250000,545.075989,60276
2016-10-05,619.200012,625.400024,614.500000,615.549988,542.695557,115421
2016-10-06,617.799988,619.950012,614.049988,614.750000,541.990173,53393
2016-10-07,615.950012,618.700012,611.099976,612.349976,539.874268,44229
2016-10-10,611.099976,615.549988,610.000000,611.299988,538.948547,54276
2016-10-13,610.500000,613.900024,604.000000,605.049988,533.438232,88286
2016-10-14,605.049988,611.950012,605.049988,609.049988,536.964783,116210
2016-10-17,605.299988,623.700012,605.299988,618.799988,545.560913,71527
2016-10-18,619.950012,623.000000,618.150024,621.650024,548.073486,58766
2016-10-19,622.049988,626.349976,620.500000,622.299988,548.646667,56797
2016-10-20,622.299988,627.000000,622.299988,624.200012,550.321716,34073
2016-10-21,622.200012,626.000000,622.049988,623.599976,549.792603,43074
2016-10-24,623.950012,628.700012,621.049988,626.450012,552.305481,32897
2016-10-25,627.900024,656.000000,622.500000,649.250000,572.406799,154266
2016-10-26,649.799988,655.000000,648.000000,650.250000,573.288513,78843
2016-10-27,650.000000,650.000000,643.500000,647.049988,570.467224,40774
2016-10-28,646.500000,653.500000,645.500000,647.650024,570.996155,51873
2016-11-01,649.799988,649.799988,644.049988,645.099976,568.747864,22450
2016-11-02,644.500000,645.049988,636.599976,638.049988,562.532349,43871
2016-11-03,638.000000,643.599976,629.950012,632.349976,557.507080,51299
2016-11-04,633.000000,633.000000,625.000000,625.950012,551.864624,25061
2016-11-07,627.950012,633.950012,625.000000,627.500000,553.231079,24451
2016-11-08,627.500000,633.599976,627.500000,631.299988,556.581177,23470
2016-11-09,610.000000,635.000000,600.000000,627.750000,553.451477,60189
2016-11-10,632.000000,640.599976,630.000000,631.299988,556.581177,35377
2016-11-11,602.200012,624.000000,602.200012,620.150024,546.751099,25009
2016-11-15,618.799988,618.799988,601.799988,603.650024,532.203857,43648
2016-11-16,607.000000,625.000000,604.950012,610.650024,538.375427,22818
2016-11-17,616.000000,616.000000,605.000000,608.950012,542.967468,16698
2016-11-18,611.900024,612.049988,605.799988,608.049988,542.165039,27527
2016-11-21,608.049988,611.000000,598.799988,600.500000,535.433044,59932
2016-11-22,603.000000,605.000000,598.000000,601.150024,536.012695,35265
2016-11-23,605.000000,608.000000,601.000000,605.200012,539.623779,39071
2016-11-24,610.000000,610.000000,601.900024,605.200012,539.623779,33135
