Date,Open,High,Low,Close,Adj Close,Volume
2016-11-18,755.200012,824.450012,755.200012,815.799988,745.159119,98898
2016-11-21,810.000000,813.000000,770.000000,791.799988,725.906799,24715
2016-11-22,806.000000,816.500000,780.049988,813.000000,745.342407,20675
2016-11-23,819.200012,820.950012,805.000000,811.700012,744.150757,63635
2016-11-24,809.400024,833.000000,799.799988,830.099976,761.019348,34354
2016-11-25,820.000000,855.000000,820.000000,850.400024,779.630127,55400
2016-11-28,853.000000,854.900024,842.450012,847.849976,777.292175,22496
2016-11-29,854.950012,857.500000,848.150024,854.000000,782.930481,98194
2016-11-30,853.299988,867.000000,845.049988,860.599976,788.981201,27306
2016-12-01,860.000000,861.950012,844.000000,859.150024,787.651917,125086
2016-12-02,859.500000,859.500000,841.000000,845.150024,774.816956,37092
2016-12-05,856.000000,856.000000,843.950012,849.549988,778.850952,17350
2016-12-06,847.500000,852.500000,840.049988,845.799988,775.412781,113804
2016-12-07,839.099976,851.450012,839.099976,847.950012,777.384033,12658
2016-12-08,850.000000,852.150024,840.049988,844.599976,774.312683,21888
2016-12-09,842.000000,851.200012,840.049988,849.700012,778.988342,47462
2016-12-12,850.000000,850.000000,835.000000,836.349976,766.749207,15969
2016-12-13,839.049988,839.849976,781.000000,798.049988,731.636719,280525
2016-12-14,798.000000,802.000000,781.549988,790.200012,724.439819,22506
2016-12-15,797.900024,804.000000,788.049988,796.400024,730.123962,12368
2016-12-16,796.099976,804.950012,793.950012,800.400024,733.791077,17562
2016-12-19,800.000000,814.950012,785.349976,794.750000,728.611389,15898
2016-12-20,805.549988,805.549988,785.349976,790.150024,724.394226,11880
2016-12-21,792.250000,800.000000,784.000000,786.549988,721.093506,10013
2016-12-22,799.700012,799.950012,782.000000,788.750000,723.110657,13786
2016-12-23,792.200012,796.000000,782.299988,794.150024,728.061218,16413
2016-12-26,790.000000,795.549988,774.200012,779.750000,714.859375,37566
2016-12-27,785.000000,790.000000,773.000000,782.150024,717.059814,23154
2016-12-28,785.000000,788.299988,777.900024,782.250000,717.151428,12119
2016-12-29,788.000000,792.900024,779.000000,784.650024,719.351807,14413
2016-12-30,787.000000,800.000000,779.950012,787.900024,722.331299,13003
2017-01-02,799.000000,809.799988,780.099976,805.299988,738.283203,14651
2017-01-03,792.200012,812.000000,792.200012,810.150024,742.729736,11705
2017-01-04,811.299988,813.500000,805.049988,807.750000,740.529236,13327
2017-01-05,812.500000,815.000000,805.000000,809.849976,742.454529,20554
2017-01-06,804.500000,812.950012,801.049988,804.000000,737.091553,46621
2017-01-09,808.500000,819.950012,802.000000,818.049988,749.972107,10809
2017-01-10,814.250000,819.400024,800.349976,804.500000,737.549805,15368
2017-01-11,804.500000,812.000000,800.049988,804.450012,737.504028,8370
2017-01-12,809.099976,811.849976,802.000000,805.500000,738.466675,6951
2017-01-13,803.000000,815.000000,803.000000,811.099976,743.600647,10413
2017-01-16,805.000000,819.900024,803.000000,816.799988,748.826172,9245
2017-01-17,817.000000,819.900024,806.000000,814.799988,746.992676,9263
2017-01-18,814.900024,834.900024,806.549988,824.099976,755.518860,11203
2017-01-19,827.500000,839.950012,815.000000,827.750000,758.864990,14302
2017-01-20,830.049988,849.000000,825.500000,839.349976,769.499573,19083
2017-01-23,813.000000,844.950012,813.000000,838.799988,768.995544,29138
2017-01-24,838.000000,840.049988,825.049988,836.400024,766.795166,21592
2017-01-25,826.000000,849.950012,826.000000,847.400024,776.879700,41946
2017-01-27,842.500000,844.950012,827.500000,834.500000,765.053345,18886
2017-01-30,834.950012,872.500000,828.000000,845.849976,775.458801,40526
2017-01-31,850.099976,854.750000,825.000000,837.700012,767.987000,32861
2017-02-01,830.049988,845.000000,815.049988,837.049988,767.391052,40962
2017-02-02,837.000000,845.849976,828.099976,840.549988,770.599731,31098
2017-02-03,836.000000,839.799988,814.299988,821.500000,753.135071,29530
2017-02-06,817.000000,824.900024,814.299988,818.150024,750.063904,21670
2017-02-07,816.049988,818.299988,795.099976,798.849976,732.369995,24269
2017-02-08,799.049988,800.000000,795.700012,797.450012,731.086426,15466
2017-02-09,804.950012,804.950012,792.000000,799.299988,732.782715,13599
2017-02-10,804.950012,804.950012,790.000000,799.250000,732.736694,11890
2017-02-13,806.599976,806.599976,790.000000,791.450012,725.585815,8410
2017-02-14,794.950012,798.900024,790.000000,792.250000,726.319214,11724
2017-02-15,793.000000,793.950012,780.049988,785.200012,719.856018,24886
2017-02-16,781.500000,800.000000,781.500000,789.700012,723.981445,20258
2017-02-17,798.000000,798.000000,786.000000,787.150024,721.643677,7586
2017-02-20,787.000000,792.500000,781.000000,783.650024,718.434814,12479
2017-02-21,787.900024,788.000000,775.049988,779.049988,714.217773,14003
2017-02-22,787.950012,789.000000,777.000000,779.450012,714.584473,13700
2017-02-23,784.950012,784.950012,775.000000,777.599976,712.888428,26613
2017-02-27,779.849976,789.549988,773.099976,775.400024,710.871521,65949
2017-02-28,776.000000,779.900024,770.200012,773.500000,709.129700,10098
2017-03-01,773.750000,779.799988,770.500000,774.250000,709.817261,13693
2017-03-02,774.500000,777.900024,770.049988,773.700012,709.312988,11727
2017-03-03,775.000000,775.000000,761.950012,764.799988,701.153564,106959
2017-03-06,774.950012,779.950012,766.000000,771.200012,707.021118,49539
2017-03-07,768.200012,777.000000,768.200012,774.500000,710.046509,45808
2017-03-08,779.000000,782.900024,759.000000,761.650024,698.265808,198453
2017-03-09,762.000000,769.950012,761.650024,766.700012,702.895508,10338
2017-03-10,768.150024,773.049988,765.049988,768.099976,704.178894,6751
2017-03-14,769.950012,774.950012,765.049988,769.799988,705.737549,27368
2017-03-15,768.549988,786.500000,767.000000,784.599976,719.305969,38460
2017-03-16,782.799988,788.599976,780.049988,785.400024,720.039429,20848
2017-03-17,788.500000,788.500000,770.099976,775.150024,710.642273,14575
2017-03-20,765.049988,785.000000,765.049988,779.950012,715.042786,32183
2017-03-21,779.049988,782.900024,775.049988,777.900024,713.163391,20678
2017-03-22,775.049988,784.900024,775.049988,781.750000,716.693054,13407
2017-03-23,780.000000,786.000000,778.900024,782.299988,717.197205,20006
2017-03-24,781.099976,784.250000,775.349976,779.349976,714.492676,109761
2017-03-27,780.000000,780.500000,770.000000,773.200012,708.854614,16456
2017-03-28,777.150024,777.150024,766.549988,771.500000,707.296143,15761
2017-03-29,771.450012,774.450012,760.049988,762.150024,698.724243,370203
2017-03-30,761.000000,768.650024,761.000000,767.299988,703.445557,15799
2017-03-31,762.500000,787.000000,762.000000,778.599976,713.805298,42947
2017-04-03,779.950012,787.950012,779.099976,785.299988,719.947632,65052
2017-04-05,785.049988,804.000000,782.000000,792.549988,726.594421,24832
