Date,Open,High,Low,Close,Adj Close,Volume
2008-04-23,231.000000,233.899994,225.899994,227.949997,145.812851,44981
2008-04-24,231.750000,235.000000,218.000000,219.550003,140.439621,41827
2008-04-25,223.899994,230.050003,223.399994,228.250000,146.004745,63247
2008-04-28,230.000000,230.000000,224.050003,226.449997,144.853363,14965
2008-04-29,226.250000,246.000000,219.199997,237.649994,152.017654,713199
2008-04-30,238.000000,238.000000,222.600006,230.399994,147.380035,854972
2008-05-02,234.000000,238.000000,225.000000,227.300003,145.397049,306766
2008-05-05,229.949997,229.949997,221.800003,222.350006,142.230698,34916
2008-05-06,222.000000,226.949997,217.149994,222.899994,142.582520,115277
2008-05-07,229.750000,234.899994,221.000000,230.100006,147.188126,345706
2008-05-08,225.250000,236.000000,217.550003,219.699997,140.535553,583301
2008-05-09,220.000000,222.500000,206.100006,207.649994,132.827515,255896
2008-05-12,200.100006,224.399994,200.100006,221.000000,141.367157,369867
2008-05-13,231.000000,259.850006,231.000000,242.949997,155.407913,3020581
2008-05-14,240.399994,254.850006,240.399994,249.300003,159.469818,2168233
2008-05-15,245.300003,249.000000,242.149994,244.750000,156.559326,661052
2008-05-16,247.800003,248.449997,242.500000,245.850006,157.262970,406263
2008-05-20,244.750000,244.750000,231.149994,237.050003,151.633865,86351
2008-05-21,237.500000,240.000000,235.050003,238.399994,152.497391,52617
2008-05-22,239.850006,240.699997,229.100006,234.300003,149.874771,536406
2008-05-23,236.000000,236.000000,230.000000,232.649994,148.819290,425187
2008-05-26,232.000000,232.000000,221.100006,222.399994,142.262680,62156
2008-05-27,222.000000,229.699997,222.000000,227.949997,145.812851,202082
2008-05-28,229.949997,255.000000,227.250000,251.000000,160.557251,867149
2008-05-29,251.000000,253.000000,228.649994,232.949997,149.011230,1738365
2008-05-30,235.000000,241.500000,233.000000,237.550003,151.953705,118496
2008-06-02,240.000000,249.050003,235.000000,242.600006,155.184021,257573
2008-06-03,237.000000,240.000000,226.000000,229.250000,146.644424,157600
2008-06-04,231.949997,236.750000,228.000000,231.449997,148.051697,702064
2008-06-05,227.000000,237.000000,227.000000,236.500000,151.282043,584010
2008-06-06,239.000000,250.000000,238.000000,248.399994,158.894104,397315
2008-06-09,240.149994,250.000000,230.100006,249.600006,159.661728,170970
2008-06-10,245.500000,249.500000,237.100006,239.300003,153.073120,64520
2008-06-11,240.000000,247.800003,235.550003,240.949997,154.128555,903223
2008-06-12,240.000000,245.449997,234.500000,244.000000,156.079544,62005
2008-06-13,239.000000,249.800003,238.000000,243.449997,155.727768,55954
2008-06-16,245.000000,248.500000,242.000000,244.149994,156.175522,18827
2008-06-17,243.000000,251.000000,243.000000,249.649994,159.693710,126929
2008-06-18,251.000000,251.000000,244.100006,245.649994,157.135025,26678
2008-06-19,244.000000,246.500000,238.399994,242.149994,154.896149,128433
2008-06-20,243.000000,243.000000,226.000000,239.800003,153.392944,198046
2008-06-23,239.000000,244.000000,234.050003,235.550003,150.674347,65456
2008-06-24,234.949997,238.000000,226.550003,230.149994,147.220123,44401
2008-06-25,227.000000,233.949997,222.000000,232.699997,148.851303,85089
2008-06-26,254.199997,254.199997,223.550003,229.449997,146.772339,278435
2008-06-27,227.949997,227.949997,217.000000,220.600006,141.111298,266067
2008-06-30,219.000000,223.949997,210.000000,216.500000,138.488617,691301
2008-07-01,213.050003,219.949997,195.000000,200.100006,127.998062,152252
2008-07-02,206.000000,210.000000,198.000000,208.350006,133.275299,60418
2008-07-03,208.800003,210.850006,192.000000,196.350006,125.599281,54659
2008-07-04,208.500000,208.500000,190.000000,202.199997,129.341354,25436
2008-07-07,204.949997,220.000000,203.050003,209.350006,133.915009,62304
2008-07-08,206.000000,216.600006,206.000000,210.350006,134.554657,35422
2008-07-09,215.899994,219.699997,205.399994,214.500000,137.209290,96482
2008-07-10,214.899994,216.000000,208.500000,210.350006,134.554657,60622
